topic,axis,input,base,swing,low,high,abs_swing
T1 Water Resilience & Equitable Access,Impact,E3-deplete.scale,5,0.05034020801928518,-0.050362436532301214,-2.222851301603157e-05,0.05034020801928518
T1 Water Resilience & Equitable Access,Impact,E3-deplete.prob,5,-0.00032324578411468963,-0.0003533025346054153,-0.0006765483187201049,0.00032324578411468963
T1 Water Resilience & Equitable Access,Impact,E3-quality.scale,4,0.11375896109235928,-0.06043442911687924,0.05332453197548004,0.11375896109235928
T1 Water Resilience & Equitable Access,Impact,E3-quality.prob,4,0.0006333486935559129,0.0007251835001897966,0.0013585321937457095,0.0006333486935559129
T1 Water Resilience & Equitable Access,Impact,E1-adaptation.scale,4,0.057803030571370595,-0.0272357818251292,0.030567248746241393,0.057803030571370595
T1 Water Resilience & Equitable Access,Impact,E1-adaptation.prob,4,0.15909843569002957,-0.03754979022003013,0.12154864546999944,0.15909843569002957
T1 Water Resilience & Equitable Access,Impact,E1-emissions.scale,3,0.0741221081430603,-0.018819758112220697,0.05530235003083961,0.0741221081430603
T1 Water Resilience & Equitable Access,Impact,E1-emissions.prob,4,0.0013575927495947937,-5.933559069903893e-05,0.0012982571588957548,0.0013575927495947937
T1 Water Resilience & Equitable Access,Impact,S4-continuity.scale,5,0.007804691691164933,-0.007551079108059522,0.00025361258310541146,0.007804691691164933
T1 Water Resilience & Equitable Access,Impact,S4-continuity.prob,4,0.08310359982378479,-0.008010355433479166,0.07509324439030562,0.08310359982378479
T1 Water Resilience & Equitable Access,Impact,S3-equity-access.scale,4,0.061238295991350444,-0.020658855834382095,0.04057944015696835,0.061238295991350444
T1 Water Resilience & Equitable Access,Impact,S3-equity-access.prob,5,0.0011677215903240779,-0.0011227692379081056,4.4952352415972285e-05,0.0011677215903240779
T1 Water Resilience & Equitable Access,Financial,R-stress-revenue.mag,4,0.20873886402761954,-0.13881173107680045,0.0699271329508191,0.20873886402761954
T1 Water Resilience & Equitable Access,Financial,R-capex-uwwtd.mag,5,0.1186787249346013,-0.11999147133663923,-0.0013127464020379342,0.1186787249346013
T1 Water Resilience & Equitable Access,Financial,R-fines-wfd.mag,3,0.09614772743752642,-0.022418155846001486,0.07372957159152493,0.09614772743752642
T1 Water Resilience & Equitable Access,Financial,O-reuse-market.mag,3,0.13168647305874925,-0.035490848173627576,0.09619562488512168,0.13168647305874925
T1 Water Resilience & Equitable Access,Financial,O-nature-credits.mag,2,0.0039447056683585835,-0.0021013343276901075,0.001843371340668476,0.0039447056683585835
